"claim_filed_by","regular_ui","pua_new","pua_reclassified","peuc_claims","week_ending","median"
"CARROLL",47,0,0,0,"March 16",31
"CECIL",28,0,0,0,"March 16",31
"CHARLES",46,0,0,0,"March 16",31
"DORCHESTER",15,0,0,0,"March 16",31
"FREDERICK",57,0,0,0,"March 16",31
"GARRETT",11,0,0,0,"March 16",31
"HARFORD",81,0,0,0,"March 16",31
"HOWARD",62,0,0,0,"March 16",31
"KENT",2,0,0,0,"March 16",31
"MONTGOMERY",218,0,0,0,"March 16",31
"NON-MARYLAND",151,0,0,0,"March 16",31
"PRINCE GEORGES",265,0,0,0,"March 16",31
"QUEEN ANNES",7,0,0,0,"March 16",31
"SOMERSET",3,0,0,0,"March 16",31
"ST MARYS",8,0,0,0,"March 16",31
"TALBOT",9,0,0,0,"March 16",31
"Unknown",18,0,0,0,"March 16",31
"WASHINGTON",46,0,0,0,"March 16",31
"WICOMICO",34,0,0,0,"March 16",31
"WORCESTER",10,0,0,0,"March 16",31
"ALLEGANY",29,0,0,0,"March 23",34.5
"ANNE ARUNDEL",120,0,0,1,"March 23",34.5
"BALTIMORE",325,0,0,0,"March 23",34.5
"BALTIMORE CITY",303,0,0,0,"March 23",34.5
"CALVERT",16,0,0,0,"March 23",34.5
"CAROLINE",17,0,0,0,"March 23",34.5
"CARROLL",37,0,0,0,"March 23",34.5
"CECIL",19,0,0,0,"March 23",34.5
"CHARLES",47,0,0,0,"March 23",34.5
"DORCHESTER",25,0,0,0,"March 23",34.5
"FREDERICK",64,0,0,0,"March 23",34.5
"GARRETT",5,0,0,0,"March 23",34.5
"HARFORD",77,0,0,0,"March 23",34.5
"HOWARD",95,0,0,0,"March 23",34.5
"KENT",10,0,0,0,"March 23",34.5
"MONTGOMERY",197,0,0,0,"March 23",34.5
"NON-MARYLAND",155,0,0,0,"March 23",34.5
"PRINCE GEORGES",247,0,0,0,"March 23",34.5
"QUEEN ANNES",11,0,0,0,"March 23",34.5
"SOMERSET",4,0,0,0,"March 23",34.5
"ST MARYS",15,0,0,0,"March 23",34.5
"TALBOT",39,0,0,0,"March 23",34.5
"Unknown",15,0,0,0,"March 23",34.5
"WASHINGTON",43,0,0,0,"March 23",34.5
"WICOMICO",32,0,0,0,"March 23",34.5
"WORCESTER",24,0,0,0,"March 23",34.5
"ALLEGANY",25,0,0,0,"March 30",44
"ANNE ARUNDEL",402,0,0,0,"March 30",44
"BALTIMORE",590,0,0,0,"March 30",44
"BALTIMORE CITY",477,0,0,0,"March 30",44
"CALVERT",69,0,0,0,"March 30",44
"CAROLINE",16,0,0,0,"March 30",44
"CARROLL",51,0,0,0,"March 30",44
"CECIL",28,0,0,0,"March 30",44
"CHARLES",124,0,0,0,"March 30",44
"DORCHESTER",12,0,0,0,"March 30",44
"FREDERICK",58,0,0,0,"March 30",44
"GARRETT",6,0,0,0,"March 30",44
"HARFORD",196,0,0,0,"March 30",44
"HOWARD",124,0,0,0,"March 30",44
"KENT",1,0,0,0,"March 30",44
"MONTGOMERY",186,1,0,0,"March 30",44
"NON-MARYLAND",197,0,0,0,"March 30",44
"PRINCE GEORGES",249,0,0,0,"March 30",44
